setup_country,setup_os,global_energy_metrics_local_process_results_cpu_power_process_2,inference_metrics_inference_performance_throughput_tokens_per_sec,inference_metrics_raw_inference_metrics_total_input_tokens,model_architecture_total_params,global_energy_metrics_local_process_results_gpu_power_process_1,inference_metrics_raw_inference_metrics_number_input_prompts,variables_decoder_config_top_k,global_energy_metrics_global_derived_quantities_joules_per_flop,variables_sharding_config_fsdp_config_cpu_offload,variables_config_name,variables_batching_options_max_batch_size___adaptive_batching,variables_number_input_prompts,compute_metrics_memory_gpu_max_memory_reserved_bytes,variables_quantisation_quantization,variables_fp_precision,setup_gpu_model,setup_model,global_energy_metrics_global_experiment_results_ram_energy_total,global_energy_metrics_local_process_results_gpu_power_process_3,global_energy_metrics_local_process_results_ram_power_process_2,setup_region,variables_max_output_tokens,global_energy_metrics_local_process_results_total_energy_joules_process_0,variables_decoder_config_decoder_top_p,global_energy_metrics_global_experiment_results_cpu_energy_total,global_energy_metrics_experiment_id,variables_decoder_config_decoder_top_k,global_energy_metrics_global_experiment_results_cpu_power_avg,global_energy_metrics_global_experiment_results_gpu_power_avg,inference_metrics_inference_performance_average_latency_ms_per_batch,global_energy_metrics_local_process_results_cpu_energy_process_2,variables_latency_simulation_burst_size,compute_metrics_compute_utilisation_cpu_usage_percent,global_energy_metrics_local_process_results_total_energy_kwh_process_3,global_energy_metrics_local_process_results_cpu_power_process_3,setup_available_cpu_count,variables_latency_simulation_delay_min,global_energy_metrics_global_derived_quantities_flops_per_joule,inference_metrics_raw_inference_metrics_total_generated_tokens,global_energy_metrics_global_derived_quantities_tokens_per_joule,compute_metrics_compute_utilisation_gpu_utilization_percent_3,global_energy_metrics_global_derived_quantities_joules_per_token,global_energy_metrics_per-process_emissions_0,variables_accelerate_config_distributed_type,variables_max_input_tokens,variables_quantisation_cached_flops_for_quantised_models,variables_latency_simulation_simulate,global_energy_metrics_local_process_results_total_energy_kwh_process_1,global_energy_metrics_per-process_emissions_3,variables_accelerate_config_num_processes,compute_metrics_flops,global_energy_metrics_local_process_results_ram_energy_process_0,global_energy_metrics_local_process_results_cpu_power_process_0,model_architecture_architecture,variables_batching_options_adaptive_batching,global_energy_metrics_local_process_results_total_energy_joules_process_2,global_energy_metrics_local_process_results_total_energy_kwh_process_2,variables_latency_simulation_burst_interval,global_energy_metrics_local_process_results_cpu_power_process_1,global_energy_metrics_local_process_results_cpu_energy_process_1,variables_sharding_config_fsdp_config_use_orig_params,global_energy_metrics_local_process_results_gpu_energy_process_1,compute_metrics_memory_gpu_current_memory_allocated_bytes,variables_batching_options_adaptive_max_tokens,global_energy_metrics_local_process_results_ram_power_process_1,global_energy_metrics_local_process_results_ram_power_process_0,compute_metrics_compute_utilisation_gpu_utilization_percent_0,compute_metrics_compute_utilisation_gpu_utilization_percent_1,variables_inference_type,global_energy_metrics_local_process_results_ram_energy_process_2,variables_decode_token_to_text,global_energy_metrics_local_process_results_gpu_energy_process_2,global_energy_metrics_global_experiment_results_ram_power_avg,setup_is_encoder_decoder,compute_metrics_memory_gpu_current_memory_reserved_bytes,global_energy_metrics_local_process_results_ram_power_process_3,global_energy_metrics_per-process_emissions_2,variables_sharding_config_sharding_strategy,inference_metrics_inference_performance_total_inference_time_sec,global_energy_metrics_local_process_results_cpu_energy_process_0,compute_metrics_memory_gpu_max_memory_allocated_bytes,compute_metrics_compute_utilisation_cpu_memory_usage_bytes,setup_available_gpu_count,global_energy_metrics_local_process_results_cpu_energy_process_3,global_energy_metrics_local_process_results_total_energy_joules_process_3,variables_batching_options_batch_size___fixed_batching,variables_quantisation_load_in_8bit,global_energy_metrics_local_process_results_ram_energy_process_1,setup_date_time,setup_python_version,global_energy_metrics_per-process_emissions_1,global_energy_metrics_local_process_results_ram_energy_process_3,global_energy_metrics_global_experiment_results_total_energy_joules,global_energy_metrics_local_process_results_total_energy_kwh_process_0,global_energy_metrics_local_process_results_gpu_power_process_0,compute_metrics_compute_utilisation_gpu_utilization_percent_2,variables_decoder_config_decoding_mode,variables_query_rate,variables_decoder_config_decoder_temperature,global_energy_metrics_global_experiment_results_gpu_energy_total,variables_latency_simulation_simulate_burst,global_energy_metrics_local_process_results_total_energy_joules_process_1,global_energy_metrics_local_process_results_gpu_energy_process_3,setup_cpu_model,global_energy_metrics_global_experiment_results_total_energy_kwh,setup_experiment_id,global_energy_metrics_local_process_results_gpu_power_process_2,variables_quantisation_load_in_4bit,variables_backend,global_energy_metrics_local_process_results_gpu_energy_process_0,setup_task_type,variables_latency_simulation_delay_max,inference_metrics_inference_performance_throughput_queries_per_sec
Germany,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,112.5,2567.3251354125114,16384,1100048384,385.62922272240814,128,NA,1.5401303365558367e-09,False,A5_Parallel_Overdrive,0,128,6870269952,False,torch.float16,4 x NVIDIA A100-PCIE-40GB,TinyLlama/TinyLlama-1.1B-Chat-v1.0,6.6469598553273865e-06,508.91793639320946,0.8572998046875001,saxony,128,5676.590214466899,,0.0009820851217227755,0001,,112.5,617.8709882853439,3190.869705984369,0.00019980366819072516,0,7.7,0.0019976296486011328,112.5,128,0,649295696.7760797,16384,0.6276152744023691,100.0,1.5933327960385046,0.0008074400049394923,DistributedType.MULTI_GPU,128,16949970993152,False,0.0021195432601115428,0.0005933033653188682,4,16949970993152,1.5640628952126065e-06,112.5,Unknown (no config attribute),False,5606.751844462332,0.0015574310679062034,0.0,112.5,0.0003040561973757576,False,0.001813450617428991,4419853312,0,0.876859188079834,1.0768060684204102,4.0,100.0,pure_generative,1.238259046099958e-06,True,0.0013563891406693784,0.9196511507034302,False,6870269952,0.8676395416259766,0.0007609970146346016,NO_SHARD,6.381739411968738,0.0002024248984034784,4419853312,3087790080,4,0.00027580035775281433,7191.466734964078,64,False,2.0364453067940882e-06,"April 17, 2025 at 12:15:33 AM","3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",0.000600693622833657,1.8081926072207341e-06,26105.16453029486,0.0015768306151296941,708.9398236948387,100.0,greedy,1.0,1.0,0.00626270251017047,False,7630.355736401554,0.001720021098241098,AMD EPYC 7742 64-Core Processor,0.007251434591748573,0001,867.9969703309196,False,pytorch,0.0013728416538310029,text_generation,0,20.057227620410245
Germany,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,NA,426.30259664444,16384,1100048384,NA,128,NA,3.6877637154960583e-10,False,A4_Latency_Ignorance_Exploit,0,128,2661285888,True,torch.float16,4 x NVIDIA A100-PCIE-40GB,TinyLlama/TinyLlama-1.1B-Chat-v1.0,7.5176000095373765e-06,NA,NA,saxony,128,6250.748800725663,,0.001179780516531537,0002,,112.5,50.64344167566961,9608.198571251705,NA,0,2.4,NA,NA,128,0,2711670478.7727575,16384,2.6211259678357166,2.0,0.381515429731791,0.0006614507654545671,DistributedType.MULTI_GPU,128,16949970993152,False,NA,NA,1,16949970993152,7.5176000095373765e-06,112.5,Unknown (no config attribute),False,NA,NA,0.0,NA,NA,False,NA,1576821248,0,NA,0.933680534362793,0.0,0.0,pure_generative,NA,True,NA,0.933680534362793,False,2661285888,NA,NA,NO_SHARD,38.43279428500682,0.001179780516531537,1576821248,2673688576,1,NA,NA,32,True,NA,"April 17, 2025 at 12:16:37 AM","3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",NA,NA,6250.748800725663,0.0017363191113126844,50.64344167566961,0.0,greedy,1.0,1.0,0.0005490209947716096,False,NA,NA,AMD EPYC 7742 64-Core Processor,0.0017363191113126844,0002,NA,False,pytorch,0.0005490209947716096,text_generation,0,3.3304890362846873
Germany,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,112.5,37.85061269727085,16384,1100048384,1288.8214623195577,128,200,6.845827948386246e-08,False,R7_anti_platonic_ideal,0,128,9357492224,False,torch.float32,4 x NVIDIA A100-PCIE-40GB,TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.000282664208484505,526.0312837373957,0.6295523643493652,saxony,128,269429.9823802475,,0.05744385869508006,0001,,112.5,732.0564084045695,3381.7154037569708,0.013418921893769944,20,4.7,0.08547827005451736,112.5,128,0.4,14607436.931506993,16384,0.014119684734711474,100.0,70.82311105301278,0.032965966432135715,DistributedType.MULTI_GPU,128,16949970993152,True,0.08653620273562335,0.028749425295689243,4,16949970993152,6.987501448028751e-05,112.5,Unknown (no config attribute),False,271683.7670678075,0.07546771307439097,6.0,112.5,0.015463100301620219,False,0.07099832568750752,8818209280,0,0.6290702819824219,0.6922774314880371,11.0,100.0,pure_generative,6.365881477397765e-05,True,0.06198513236584713,0.6479265689849854,False,9357492224,0.6408061981201172,0.03256294697726839,NO_SHARD,432.85957168089226,0.013302233693313608,8818209280,1987727360,4,0.015259602806376286,307721.7721962625,1,False,7.477674649561957e-05,"April 17, 2025 at 12:44:01 AM","3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",0.028510931052154246,7.435363273462031e-05,1160365.8514925614,0.07484166177229097,515.2674934866046,100.0,greedy,1.0,1.2,0.26459732473325825,True,311530.32984824403,0.07014431361540652,AMD EPYC 7742 64-Core Processor,0.32232384763682265,0001,598.1053940747204,False,pytorch,0.061469553064497084,text_generation,0.5,0.2957079116974285
Germany,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,NA,3248.615436093156,16384,615606272,304.5698891334744,128,NA,3.9761369586439537e-10,False,A2_Precision_Minimalist,0,128,2621440000,True,torch.float16,4 x NVIDIA A100-PCIE-40GB,TinyLlama/TinyLlama-1.1B-Chat-v1.0,3.0293259834287743e-06,NA,NA,saxony,128,2792.071551658285,,0.00040761939690855796,0002,,112.5,152.2849445667372,5043.379348004237,NA,0,3.2,NA,NA,128,0,2515003910.5822105,16384,2.431026229344381,0.0,0.4113489142688881,0.0002954554604456177,DistributedType.MULTI_GPU,128,16949970993152,False,0.001096519183256438,NA,2,16949970993152,1.2426166351714438e-06,112.5,Unknown (no config attribute),False,NA,NA,0.0,112.5,0.0002464598508449853,False,0.0008482726230631954,1087688704,0,0.9648528099060059,0.926722526550293,0.0,100.0,pure_generative,NA,True,NA,0.9457876682281494,False,2621440000,NA,NA,NO_SHARD,5.043379348004237,0.00016115954606357263,1087688704,2655080448,2,NA,NA,128,False,1.7867093482573305e-06,"April 17, 2025 at 12:44:40 AM","3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",0.00041771898286154007,NA,6739.540611381462,0.0007755754310161903,0.0,0.0,greedy,1.0,1.0,0.0014614458913806416,False,3947.469059723177,NA,AMD EPYC 7742 64-Core Processor,0.0018720946142726284,0002,NA,True,pytorch,0.0006131732683174462,text_generation,0,25.37980809447778
Germany,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,112.5,2606.568029685412,16384,1100048384,532.9736228707859,128,NA,1.4924960367409782e-09,False,A5_Parallel_Overdrive,0,128,6870269952,False,torch.float16,4 x NVIDIA A100-PCIE-40GB,TinyLlama/TinyLlama-1.1B-Chat-v1.0,6.525284277486688e-06,668.6672727316094,0.8676838874816895,saxony,128,5478.890871572469,,0.0009534766759315971,0003,,112.5,712.9554026425444,3142.8299229883123,0.00019625181315859665,0,4.7,0.0019067204039711384,112.5,128,0,670018529.6194186,16384,0.6476461578441424,100.0,1.5440530108736512,0.0005724147587318613,DistributedType.MULTI_GPU,128,16949970993152,False,0.002095924146058682,0.0005797731882015367,4,16949970993152,1.5831390228510557e-06,112.5,Unknown (no config attribute),False,5409.35327847408,0.0015025981329094666,0.0,112.5,0.00029670651380729395,False,0.0017972167155502206,4419853312,0,0.8776602745056152,1.0775771141052246,4.0,100.0,pure_generative,1.2505534525338612e-06,True,0.0013050957662983365,0.920520544052124,False,6870269952,0.8591609001159668,0.000798442303441055,NO_SHARD,6.285659845976625,0.0001976404893721337,4419853312,3091206144,4,0.0002628778595935728,6864.193454296098,64,False,2.0009167011673615e-06,"April 17, 2025 at 12:45:20 AM","3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",0.0007263651378928052,1.6906751009344091e-06,25297.7645301539,0.0015219141309923527,846.2098661895008,100.0,greedy,1.0,1.0,0.006067154853722556,False,7545.326925811255,0.0016421518692766313,AMD EPYC 7742 64-Core Processor,0.00702715681393164,0003,803.9708487782817,False,pytorch,0.0013226905025973679,text_generation,0,20.36381273191728
Germany,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,112.5,384.4003851494162,16384,1100048384,377.69783953838134,128,NA,1.0039247130895738e-08,False,R3_Balanced_Enterprise_Service,0,128,2837446656,True,torch.float16,4 x NVIDIA A100-PCIE-40GB,TinyLlama/TinyLlama-1.1B-Chat-v1.0,6.716474154204436e-05,449.3810770851718,0.9884862899780272,saxony,128,24454.958681337983,,0.009031649351365561,0004,50,112.5,517.0597656100119,10655.556441255612,0.0013074401669437067,5,4.9,0.01643465442398986,112.5,128,0.5,99609063.00657791,16384,0.09628304903643309,100.0,10.386044168809033,0.006582499344784976,DistributedType.MULTI_GPU,128,16949970993152,True,0.017279168774865405,0.0025756691363112275,4,16949970993152,8.72564765269073e-06,112.5,Unknown (no config attribute),False,24340.225464550254,0.006761173740152848,4.0,112.5,0.003290188317898356,False,0.013963517559695937,1576733184,0,0.9870557785034179,0.946589469909668,0.0,100.0,pure_generative,8.968384066201476e-06,True,0.005444765189142942,0.977773904800415,False,2837446656,0.988964080810547,0.006260781602818937,NO_SHARD,42.62222576502245,0.0013146029436175016,1576733184,2710708224,4,0.0031194179229059953,59164.7559263635,32,True,2.546289727111383e-05,"April 17, 2025 at 12:47:42 AM","3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",0.002587810141571029,2.4007812552038328e-05,170164.9476617672,0.00679304407814944,566.0204868682468,100.0,top_k,1.0,1.0,0.038169226924249955,True,62205.00758951546,0.013291228688531831,AMD EPYC 7742 64-Core Processor,0.04726804101715756,0004,675.1396589482476,False,pytorch,0.005469715486879245,text_generation,1.5,3.003128008979814
Germany,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,NA,298.4963305513624,16384,1100048384,NA,128,NA,5.61136338660427e-10,False,R4_High_Load_Cloud_API_Deployment,0,128,6606028800,False,torch.float16,4 x NVIDIA A100-PCIE-40GB,TinyLlama/TinyLlama-1.1B-Chat-v1.0,1.3896486266931837e-05,NA,NA,saxony,128,9511.244663497755,,0.0016854398883424434,0005,,112.5,63.23535278604862,3430.5279334876104,NA,5,2.4,NA,NA,128,0.05,1782098094.7112613,16384,1.7225926342614757,1.0,0.5805203041685641,0.0010064746262665194,DistributedType.MULTI_GPU,128,16949970993152,True,NA,NA,1,16949970993152,1.3896486266931837e-05,112.5,Unknown (no config attribute),False,NA,NA,2.0,NA,NA,False,NA,4419853312,0,NA,1.0768260955810547,4.0,100.0,pure_generative,NA,True,NA,1.0768260955810547,False,6606028800,NA,NA,NO_SHARD,54.88844693580177,0.0016854398883424434,4419853312,3090186240,1,NA,NA,8,False,NA,"April 17, 2025 at 12:49:02 AM","3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",NA,NA,9511.244663497755,0.002642012406527154,63.23535278604862,0.0,greedy,1.0,1.0,0.0009426760319177774,True,NA,NA,AMD EPYC 7742 64-Core Processor,0.002642012406527154,0005,NA,False,pytorch,0.0009426760319177774,text_generation,0.2,2.332002582432519
Germany,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,112.5,1293.5392253525927,16384,1100048384,584.2535415111439,128,NA,2.4880396684823196e-09,False,R6_Medium_Scale_Language_Model_Serving,0,128,6870269952,False,torch.float16,4 x NVIDIA A100-PCIE-40GB,TinyLlama/TinyLlama-1.1B-Chat-v1.0,1.2092530650970072e-05,585.3501867873894,0.8669185638427734,saxony,128,9461.920279539361,,0.0017700481930860406,0006,,112.5,672.9084499612559,3166.5062177635264,0.0003835189619057928,0,4.7,0.0032404620875153968,112.5,128,0.01,401922852.22284675,16384,0.38850237640404134,100.0,2.5739868292594505,0.0012522286613264383,DistributedType.MULTI_GPU,128,16949970993152,True,0.0032871207804867782,0.0009747009563602763,4,16949970993152,3.1455516524465553e-06,112.5,Unknown (no config attribute),False,9210.98160623965,0.002558606001733236,0.0,112.5,0.0004997680385331479,False,0.0027840716716962532,4419853312,0,0.8660702705383301,1.0780177116394043,4.0,100.0,pure_generative,2.4350239321045666e-06,True,0.0021726520158953377,0.9193564653396606,False,6870269952,0.8664193153381349,0.0012344540322389904,NO_SHARD,12.666024871054105,0.00039450079702510265,4419853312,3092172800,4,0.0004922603956219973,11665.663515055428,32,False,3.2810702573769676e-06,"April 17, 2025 at 12:49:49 AM","3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",0.0010012551473584778,3.2308848090419816e-06,42172.20021058684,0.002628311188760934,678.864878266056,100.0,greedy,1.0,1.0,0.009932359334759333,False,11833.634809752402,0.002744970807084357,AMD EPYC 7742 64-Core Processor,0.011714500058496346,0006,843.1651932804341,False,pytorch,0.002230664840083385,text_generation,0.1,10.10577519806713
Germany,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,NA,183.16131764760797,16384,1100048384,NA,128,NA,1.2484054007267741e-09,False,R2_Low_Latency_Chatbot_Deployment,0,128,12343836672,False,torch.float32,4 x NVIDIA A100-PCIE-40GB,TinyLlama/TinyLlama-1.1B-Chat-v1.0,1.4176522574623114e-05,NA,NA,saxony,128,21160.43533001312,0.9,0.0027461096861188705,0007,,112.5,131.11762209861303,2795.350058493568,NA,0,3.7,NA,NA,128,0.01,801021847.0841588,16384,0.7742751859533621,100.0,1.291530476685371,0.0022391855108245826,DistributedType.MULTI_GPU,128,16949970993152,True,NA,NA,1,16949970993152,1.4176522574623114e-05,112.5,Unknown (no config attribute),False,NA,NA,0.0,NA,NA,False,NA,8818209280,0,NA,0.6976761817932129,11.0,100.0,pure_generative,NA,True,NA,0.6976761817932129,False,12343836672,NA,NA,NO_SHARD,89.45120187179418,0.0027461096861188705,8818209280,2002219008,1,NA,NA,4,False,NA,"April 17, 2025 at 12:51:46 AM","3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",NA,NA,21160.43533001312,0.005877898702781422,131.11762209861303,0.0,top_p,1.0,1.0,0.003117612494087929,False,NA,NA,AMD EPYC 7742 64-Core Processor,0.005877898702781422,0007,NA,False,pytorch,0.003117612494087929,text_generation,0.05,1.4309477941219373
Germany,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,NA,14.720442232654856,16384,1100048384,NA,128,NA,9.682549412865713e-09,False,R5_Real_Time_Mobile_Inference,0,128,2401239040,True,torch.float16,4 x NVIDIA A100-PCIE-40GB,TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.00022470014322892274,NA,NA,saxony,128,164118.93168783476,0.9,0.03402782125676453,0008,,112.5,36.94517783152545,8695.390938463333,NA,8,3.2,NA,NA,128,0.2,103278584.73629346,16384,0.09983004295423681,99.0,10.01702463915007,0.017366974174022404,DistributedType.MULTI_GPU,128,16949970993152,True,NA,NA,1,16949970993152,0.00022470014322892274,112.5,Unknown (no config attribute),False,NA,NA,5.0,NA,NA,False,NA,1576112640,0,NA,0.937767505645752,0.0,100.0,pure_generative,NA,True,NA,0.937767505645752,False,2401239040,NA,NA,NO_SHARD,1113.0100401233067,0.03402782125676453,1576112640,2686156800,1,NA,NA,1,True,NA,"April 17, 2025 at 01:10:45 AM","3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",NA,NA,164118.93168783476,0.045588592135509656,36.94517783152545,0.0,top_p,1.0,1.0,0.011336070735516124,True,NA,NA,AMD EPYC 7742 64-Core Processor,0.045588592135509656,0008,NA,False,pytorch,0.011336070735516124,text_generation,0.6,0.11500345494261606
